unique_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
49733,Alcmena (Earth-616),\/Alcmena_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,3,Oct-82,1982
392860,Atra (Earth-616),\/Atra_(Earth-616),,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,3,Nov-82,1982
16268,Blackthorn (Earth-616),\/Blackthorn_(Earth-616),Public Identity,Neutral Characters,Violet Eyes,No Hair,Male Characters,,Living Characters,3,May-82,1982
690781,Borna (Menagerie of Rimthursar) (Earth-616),\/Borna_(Menagerie_of_Rimthursar)_(Earth-616),Secret Identity,,,Black Hair,Male Characters,,Living Characters,3,Jun-82,1982
1238,Bres (Earth-616),\/Bres_(Earth-616),Secret Identity,,,Blond Hair,Male Characters,,Living Characters,3,Nov-82,1982
1311,Cethlann (Earth-616),\/Cethlann_(Earth-616),Secret Identity,,,,Female Characters,,Living Characters,3,Nov-82,1982
1502,Elathan (Earth-616),\/Elathan_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,3,Nov-82,1982
172568,Fairgold (Earth-616),\/Fairgold_(Earth-616),Secret Identity,,,Blond Hair,Female Characters,,Living Characters,3,Jun-82,1982
175484,Fletcher Heggs (Earth-616),\/Fletcher_Heggs_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Oct-82,1982
21426,Ghost Maker (Earth-616),\/Ghost_Maker_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,,,Living Characters,3,Mar-82,1982
172905,Grult (Earth-616),\/Grult_(Earth-616),Secret Identity,,,Grey Hair,Male Characters,,Living Characters,3,Jun-82,1982
1859,Indech (Earth-616),\/Indech_(Earth-616),Public Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Nov-82,1982
41611,Indra (Deity) (Earth-616),\/Indra_(Deity)_(Earth-616),Secret Identity,,Blue Eyes,Black Hair,,,Living Characters,3,Oct-82,1982
41116,Justin Alphonse Gamble (Earth-616),\/Justin_Alphonse_Gamble_(Earth-616),,Good Characters,,Red Hair,Male Characters,,Living Characters,3,Mar-82,1982
586536,Kip Holm (Earth-616),\/Kip_Holm_(Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,3,Feb-82,1982
172907,Kyrie (Earth-616),\/Kyrie_(Earth-616),Secret Identity,,,Brown Hair,Female Characters,,Living Characters,3,Jun-82,1982
7434,Mehemet Faoul (Earth-616),\/Mehemet_Faoul_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Dec-82,1982
490481,Mele (Earth-616),\/Mele_(Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,3,Apr-82,1982
57766,Meru (Earth-616),\/Meru_(Earth-616),,,White Eyes,Grey Hair,Male Characters,,Living Characters,3,Mar-82,1982
564979,Perseus (Greek Legend) (Earth-616),\/Perseus_(Greek_Legend)_(Earth-616),Public Identity,,,,Male Characters,,Living Characters,3,Sep-82,1982
172912,Rimthursar (Earth-616),\/Rimthursar_(Earth-616),,Bad Characters,,Grey Hair,Male Characters,,Living Characters,3,Jun-82,1982
15309,S.U.L.T.A.N. (Earth-616),\/S.U.L.T.A.N._(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,3,Jan-82,1982
586535,Sandy (Earth-616),\/Sandy_(Earth-616),No Dual Identity,Good Characters,,,Female Characters,,Living Characters,3,Feb-82,1982
12444,Shaft (Chaste) (Earth-616),\/Shaft_(Chaste)_(Earth-616),,Good Characters,,,,,Deceased Characters,3,Nov-82,1982
172910,Slithgarn (Earth-616),\/Slithgarn_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,3,Jun-82,1982
16693,Webwing (Earth-616),\/Webwing_(Earth-616),Public Identity,Neutral Characters,Black Eyes,,,,Living Characters,3,May-82,1982
15406,Yama (Devas) (Earth-616),\/Yama_(Devas)_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Oct-82,1982
605309,Alhambra (Earth-616),\/Alhambra_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,3,Dec-83,1983
511829,Andy (Angel) (Earth-616),\/Andy_(Angel)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,3,Feb-83,1983
415675,Baron von Blimp (Earth-616),\/Baron_von_Blimp_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Jul-83,1983
430238,Brokk (Dwarf) (Earth-616),\/Brokk_(Dwarf)_(Earth-616),Public Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,3,Nov-83,1983
705844,Drake Previn (Earth-616),\/Drake_Previn_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3,Feb-83,1983
93571,Elsie Grimm (Earth-616),\/Elsie_Grimm_(Earth-616),,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,3,Jul-83,1983
249903,Ethan Domblue (Earth-616),\/Ethan_Domblue_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,May-83,1983
675904,George Hill (Earth-616),\/George_Hill_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Mar-83,1983
16099,Gregori Larionov (Earth-616),\/Gregori_Larionov_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Jul-83,1983
630684,Gregory Bestman (Earth-616),\/Gregory_Bestman_(Earth-616),Public Identity,Neutral Characters,,Grey Hair,Male Characters,,Living Characters,3,May-83,1983
99826,Jason Stryker (Earth-616),\/Jason_Stryker_(Earth-616),No Dual Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,Jan-83,1983
71661,Jorge Latham (Earth-616),\/Jorge_Latham_(Earth-616),Public Identity,Good Characters,,Grey Hair,Male Characters,,Living Characters,3,Jul-83,1983
2685,Locksmith (Earth-616),\/Locksmith_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,Jun-83,1983
18810,Lucas Jackson (Earth-616),\/Lucas_Jackson_(Earth-616),Public Identity,Good Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,3,Oct-83,1983
304978,Marcus Gallio (Earth-616),\/Marcus_Gallio_(Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,3,Nov-83,1983
246767,Polowski (Earth-616),\/Polowski_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Apr-83,1983
93715,Richard Easton (Earth-616),\/Richard_Easton_(Earth-616),Public Identity,Neutral Characters,,Grey Hair,Male Characters,,Living Characters,3,Aug-83,1983
16579,Svetlana Porfiry (Earth-616),\/Svetlana_Porfiry_(Earth-616),Secret Identity,Bad Characters,,Grey Hair,Female Characters,,Living Characters,3,Sep-83,1983
16100,Taranith Gestal (Earth-616),\/Taranith_Gestal_(Earth-616),,Bad Characters,Red Eyes,No Hair,,,Deceased Characters,3,May-83,1983
79623,Thomas Smallwood (Earth-616),\/Thomas_Smallwood_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,3,Sep-83,1983
199152,Aerivar XVIII (Earth-616),\/Aerivar_XVIII_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Dec-84,1984
16078,Alden Maas (Earth-616),\/Alden_Maas_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,3,Feb-84,1984
16252,Anzhela Federova (Earth-616),\/Anzhela_Federova_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,3,Jan-84,1984
290153,Eric Beale (Earth-616),\/Eric_Beale_(Earth-616),,Bad Characters,,Grey Hair,Male Characters,,Living Characters,3,Oct-84,1984
690431,Heiji Shigematsu (Earth-616),\/Heiji_Shigematsu_(Earth-616),Public Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,3,Nov-84,1984
246374,Jason Praed (Earth-616),\/Jason_Praed_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Mar-84,1984
24366,Neil Donaldson (Earth-616),\/Neil_Donaldson_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,3,Dec-84,1984
87162,Nicholas Damiano (Earth-616),\/Nicholas_Damiano_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Deceased Characters,3,Aug-84,1984
736795,Oscar Gordon (Earth-616),\/Oscar_Gordon_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Jul-84,1984
434054,Peter Brand (Earth-616),\/Peter_Brand_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,3,Sep-84,1984
13124,Proteus (Atlantean Shapeshifter) (Earth-616),\/Proteus_(Atlantean_Shapeshifter)_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,3,Sep-84,1984
79617,Snake-Eyes (Earth-616),\/Snake-Eyes_(Earth-616),,,,,,,Living Characters,3,Oct-84,1984
15231,Stanley George Johnson (Earth-616),\/Stanley_George_Johnson_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,3,Oct-84,1984
19505,Tim Harrison (Earth-616),\/Tim_Harrison_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,3,Jan-84,1984
305479,Varga (Earth-616),\/Varga_(Earth-616),Public Identity,Neutral Characters,,Red Hair,Male Characters,,Living Characters,3,Feb-84,1984
181434,Allison McCourt (Earth-616),\/Allison_McCourt_(Earth-616),No Dual Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,3,Feb-85,1985
83213,Don Remming (Earth-616),\/Don_Remming_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,3,Nov-85,1985
16004,Elspeth Cromwell (Earth-616),\/Elspeth_Cromwell_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Deceased Characters,3,Jan-85,1985
16577,Holly-Ann Ember (Earth-616),\/Holly-Ann_Ember_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,3,Sep-85,1985
244818,Hungry (Earth-616),\/Hungry_(Earth-616),,Bad Characters,Variable Eyes,Variable Hair,,,Living Characters,3,Dec-85,1985
181459,John Rival (Earth-616),\/John_Rival_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,3,Feb-85,1985
580808,Kali (Oblivion) (Earth-616),\/Kali_(Oblivion)_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,3,Feb-85,1985
588092,Kehl (Earth-616),\/Kehl_(Earth-616),Public Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3,May-85,1985
597537,Le Loup (Earth-616),\/Le_Loup_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,3,Sep-85,1985
125255,Lightningbolt (Earth-616),\/Lightningbolt_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Dec-85,1985
30104,Lorne Lincoln (Earth-616),\/Lorne_Lincoln_(Earth-616),,,,,Male Characters,,Living Characters,3,Feb-85,1985
432126,Major Sauleda (Earth-616),\/Major_Sauleda_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,3,Jan-85,1985
639900,Nostume (Earth-616),\/Nostume_(Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,3,Aug-85,1985
310890,Peeping Tom (Earth-616),\/Peeping_Tom_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,3,Dec-85,1985
62386,Quinn Pullman (Earth-616),\/Quinn_Pullman_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Jun-85,1985
15229,Silence (New Wave) (Earth-616),\/Silence_(New_Wave)_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,3,Nov-85,1985
310893,Spasm (Earth-616),\/Spasm_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Dec-85,1985
17002,Straight Arrow (Alfie) (Earth-616),\/Straight_Arrow_(Alfie)_(Earth-616),,,,,Male Characters,,Living Characters,3,Dec-85,1985
669816,Wifferdill (Earth-616),\/Wifferdill_(Earth-616),,,,Green Hair,Male Characters,,Living Characters,3,Dec-85,1985
18374,Ann Fraley (Earth-616),\/Ann_Fraley_(Earth-616),Secret Identity,Bad Characters,,White Hair,Female Characters,,Living Characters,3,Mar-86,1986
16251,Blow-Hard (Earth-616),\/Blow-Hard_(Earth-616),Secret Identity,Neutral Characters,,Grey Hair,Male Characters,,Deceased Characters,3,Dec-86,1986
72745,Charlie Siciliano (Earth-616),\/Charlie_Siciliano_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Jan-86,1986
16309,Cybelle (Earth-616),\/Cybelle_(Earth-616),Secret Identity,Bad Characters,,Red Hair,Female Characters,,Deceased Characters,3,Nov-86,1986
251701,Gertha (Earth-616),\/Gertha_(Earth-616),,Bad Characters,,Blond Hair,Female Characters,,Living Characters,3,Jun-86,1986
16461,Glow Worm (Earth-616),\/Glow_Worm_(Earth-616),Secret Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,3,Aug-86,1986
435114,Gullywhump (Earth-616),\/Gullywhump_(Earth-616),,Good Characters,,No Hair,,,Living Characters,3,Feb-86,1986
19611,Joseph Calhoun (Earth-616),\/Joseph_Calhoun_(Earth-616),,,Brown Eyes,Black Hair,Male Characters,,Living Characters,3,Jun-86,1986
277442,Judith Rassendyll (Earth-616),\/Judith_Rassendyll_(Earth-616),Public Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,3,Apr-86,1986
435115,King Glugwort (Earth-616),\/King_Glugwort_(Earth-616),,Good Characters,,No Hair,Male Characters,,Living Characters,3,Feb-86,1986
251697,Kossi (Earth-616),\/Kossi_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,3,Jun-86,1986
18809,Luke Jacobson (Earth-616),\/Luke_Jacobson_(Earth-616),,,,,Male Characters,,Living Characters,3,Jun-86,1986
705751,Paulo (Earth-616),\/Paulo_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,3,Apr-86,1986
435128,Ratso (Earth-616),\/Ratso_(Earth-616),,Bad Characters,,,,,Living Characters,3,Feb-86,1986
441178,Rattusk (Earth-616),\/Rattusk_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,3,Jan-86,1986
16139,Ray Carter (Earth-616),\/Ray_Carter_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Blond Hair,Male Characters,,Living Characters,3,Dec-86,1986
435127,Southside (Earth-616),\/Southside_(Earth-616),,Bad Characters,,,,,Living Characters,3,Feb-86,1986
27211,Tina Sapristi (Earth-616),\/Tina_Sapristi_(Earth-616),,Good Characters,,Black Hair,Female Characters,,Living Characters,3,Nov-86,1986
251699,Unn (Earth-616),\/Unn_(Earth-616),,Bad Characters,,Red Hair,Female Characters,,Living Characters,3,Jun-86,1986
18607,Adria Walker (Earth-616),\/Adria_Walker_(Earth-616),No Dual Identity,,,,Female Characters,,Living Characters,3,Sep-87,1987
693076,"Ariel (Coconut Grove, Male) (Earth-616)","\/Ariel_(Coconut_Grove,_Male)_(Earth-616)",No Dual Identity,,,,Male Characters,,Deceased Characters,3,Oct-87,1987
482492,Freja (Earth-616),\/Freja_(Earth-616),Public Identity,,,White Hair,Male Characters,,Deceased Characters,3,Aug-87,1987
18827,Gil Jeffers (Earth-616),\/Gil_Jeffers_(Earth-616),,Neutral Characters,,,Male Characters,,Living Characters,3,Sep-87,1987
16134,Gila (Earth-616),\/Gila_(Earth-616),Secret Identity,Bad Characters,,,,,Living Characters,3,Feb-87,1987
41789,Horde (Earth-616),\/Horde_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Orange Hair,Male Characters,,Deceased Characters,3,Nov-87,1987
246262,Kirk Donaghue (Earth-616),\/Kirk_Donaghue_(Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,3,Feb-87,1987
60588,Maeve Rourke (Earth-616),\/Maeve_Rourke_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,3,Dec-87,1987
83303,Maya (Inhumans) (Earth-616),\/Maya_(Inhumans)_(Earth-616),Public Identity,Good Characters,,Grey Hair,Female Characters,,Living Characters,3,Sep-87,1987
295659,Nameless One (Voodoo Lord) (Earth-616),\/Nameless_One_(Voodoo_Lord)_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Jun-87,1987
7318,Sandy Vincent (Earth-616),\/Sandy_Vincent_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,3,Dec-87,1987
34118,Unipar (Earth-616),\/Unipar_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,3,Sep-87,1987
608659,Xuthl (Earth-616),\/Xuthl_(Earth-616),Secret Identity,,Yellow Eyes,,Male Characters,,Living Characters,3,Apr-87,1987
286800,Adam Plunder (Earth-616),\/Adam_Plunder_(Earth-616),,Good Characters,,Blond Hair,Male Characters,,Living Characters,3,Oct-88,1988
699733,Alan Quartermain (Earth-616),\/Alan_Quartermain_(Earth-616),No Dual Identity,,,Brown Hair,Male Characters,,Living Characters,3,Mar-88,1988
526897,Alfred Coppersmith (Earth-616),\/Alfred_Coppersmith_(Earth-616),No Dual Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,3,Aug-88,1988
78868,Blind Justice (Earth-616),\/Blind_Justice_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,3,Jul-88,1988
1210,Blindside (Brood) (Earth-616),\/Blindside_(Brood)_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Aug-88,1988
575956,Dempsey (Earth-616),\/Dempsey_(Earth-616),Secret Identity,Neutral Characters,,Orange Hair,Male Characters,,Deceased Characters,3,Aug-88,1988
1441,Dive-Bomber (Earth-616),\/Dive-Bomber_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Aug-88,1988
329429,Doctor Stack (Earth-616),\/Doctor_Stack_(Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,3,Aug-88,1988
564785,Dwaine Hess (Earth-616),\/Dwaine_Hess_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,3,Sep-88,1988
564786,Eileen Snakard (Earth-616),\/Eileen_Snakard_(Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Living Characters,3,Sep-88,1988
600382,Fruitbagel (Earth-616),\/Fruitbagel_(Earth-616),Public Identity,Neutral Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,3,Oct-88,1988
489954,Hamilton (Earth-616),\/Hamilton_(Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,3,Feb-88,1988
284330,Harry Palmer (Earth-616),\/Harry_Palmer_(Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,3,Aug-88,1988
19576,Hector Montoya (Earth-616),\/Hector_Montoya_(Earth-616),,,,,Male Characters,,Living Characters,3,Nov-88,1988
691476,Junipur (Earth-616),\/Junipur_(Earth-616),,Good Characters,,,Female Characters,,Living Characters,3,Nov-88,1988
728595,Katos (Earth-616),\/Katos_(Earth-616),No Dual Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,3,Nov-88,1988
456588,Lamar Plotnick (Earth-616),\/Lamar_Plotnick_(Earth-616),Secret Identity,,,Red Hair,Male Characters,,Living Characters,3,Aug-88,1988
2039,Lockup (Earth-616),\/Lockup_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,3,Aug-88,1988
350708,Madame Joy (Earth-616),\/Madame_Joy_(Earth-616),Public Identity,Bad Characters,,White Hair,Female Characters,,Living Characters,3,Nov-88,1988
244108,McDonald (Project Glamor) (Earth-616),\/McDonald_(Project_Glamor)_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,3,Oct-88,1988
4676,Mist Mistress (Earth-616),\/Mist_Mistress_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,3,Oct-88,1988
254557,Myla (Pangorian) (Earth-616),\/Myla_(Pangorian)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,3,Jan-88,1988
254551,Pegas (Earth-616),\/Pegas_(Earth-616),,Bad Characters,,Blue Hair,Male Characters,,Living Characters,3,Jan-88,1988
2595,Robert Delgado (Earth-616),\/Robert_Delgado_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,3,Aug-88,1988
2445,Temptress (Brood Mutants) (Earth-616),\/Temptress_(Brood_Mutants)_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Deceased Characters,3,Aug-88,1988
1983,Whiphand (Earth-616),\/Whiphand_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,3,Aug-88,1988
19282,Bermuda Schwartz (Earth-616),\/Bermuda_Schwartz_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,3,Dec-89,1989
13235,Brute Benhurst (Earth-616),\/Brute_Benhurst_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,3,Apr-89,1989
58627,Charles Edison (Earth-616),\/Charles_Edison_(Earth-616),Secret Identity,,,Black Hair,Male Characters,,Living Characters,3,Aug-89,1989
28296,Cloot (Earth-616),\/Cloot_(Earth-616),,Bad Characters,Red Eyes,White Hair,Male Characters,,Living Characters,3,Jun-89,1989
285189,Doctor Snodgrass (Earth-616),\/Doctor_Snodgrass_(Earth-616),Public Identity,,,,Female Characters,,Living Characters,3,Jan-89,1989
246075,Doeke Riebeeck (Earth-616),\/Doeke_Riebeeck_(Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,3,Jul-89,1989
408867,Donna Strange (Earth-616),\/Donna_Strange_(Earth-616),Public Identity,Neutral Characters,,Brown Hair,Female Characters,,Living Characters,3,Nov-89,1989
